"location_id","zone_id","location_name_english","location_name_arabic","line_name","station_location_longitude","station_location_latitude","station_opening_date","station_closing_date"
"220","2","Mina Seyahi","الميناء السياحي","Tram line","55.148605","25.091058","11/11/2014 00:00:00",""
"224","2","Al Sufouh","الصفوح","Tram line","55.165147","25.108091","11/11/2014 00:00:00",""
"219","2","Marina Towers","أبراج المارينا","Tram line","55.150052","25.086641","11/11/2014 00:00:00",""
"223","2","Knowledge Village","قرية المعرفة","Tram line","55.161580","25.104251","11/11/2014 00:00:00",""
"222","2","Palm Jumeirah","نخلة جميرا","Tram line","55.155742","25.098284","11/11/2014 00:00:00",""
"218","2","Dubai Marina","مرسى دبي","Tram line","55.146909","25.080803","11/11/2014 00:00:00",""
"217","2","Dubai Marina Mall","دبي مارينا مول","Tram line","55.141974","25.076300","11/11/2014 00:00:00",""
"214","2","Jumeirah Beach Residence 1","أبراج شاطئ جميرا 1","Tram line","55.138232","25.079737","11/11/2014 00:00:00",""
"215","2","Jumeirah Beach Residence 2","أبراج شاطئ جميرا 2","Tram line","55.132232","25.073813","11/11/2014 00:00:00",""
"216","2","Jumeirah Lakes Towers","أبراج بحيرات جميرا","Tram line","55.137763","25.071480","11/11/2014 00:00:00",""
"221","2","Media City","مدينة دبي للإعلام","Tram line","55.151983","25.094499","11/11/2014 00:00:00",""
